Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f82f2488ce1df51e64bc00b97673a4f1ac1b8beee3ebb95c09dd457a98238b9a,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.073344,51.531524,On or near HANDTROUGH WAY,E01033587,Barking and Dagenham 021E,Suspect charged
429a45a408cf8c918b6c5969c706afeb7ba82e0cbdcf6cd58105f5d4b0e1e76d,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.139657,51.534353,On or near TRESWELL ROAD,E01000056,Barking and Dagenham 018C,Suspect charged
adc1dd97d6c81453adef792840ec1def816b66fc61bbcc6199f65e5f690a655c,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.099602,51.531246,On or near Pedestrian Subway,E01000093,Barking and Dagenham 022B,Local resolution
ee0e735ac0d943af10e81989b20b62607e8042e243ca4860258a2a6d8746e80f,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.030819,51.656877,On or near STONYCROFT CLOSE,E01001438,Enfield 007E,Offender given a caution
ac16f7a8a8cbe3f2e4bc5a9f0a111e5af5eadf52f96aad80428558cbad47ec92,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.011754,51.665692,On or near PUNCHARD CRESCENT,E01033148,Enfield 003F,Suspect charged
7330f891363f9fc6a14f365f8e84d1b4118d477709970e6020111c1590c564e7,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.054802,51.618771,On or near GRILSE CLOSE,E01001431,Enfield 033A,Suspect charged
91c3715bf272397867466bb1c08fbbff3ca674476d2b5d75cb7bcf5b79cb3c92,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.286413,51.530704,On or near Sports/Recreation Area,E01000600,Brent 027E,Suspect charged
17db3cdfb28add29b8f6bab6ec0b2b751b94d182854f17a13c97ba215770dc75,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.034527,51.536629,On or near Supermarket,E01003569,Newham 017B,Suspect charged
472dabfdd34eb6ef882267df8734e86a052bf26731f2d715996ef0977b711c46,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.052433,51.534932,On or near Supermarket,E01003521,Newham 018B,Local resolution
f8a62424ce6cd2a0521a49826b87b26b824dc942a7958b5015250d045c72fe9d,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.027773,51.510208,On or near BETTS ROAD,E01003515,Newham 036D,Offender given a caution
30be03463c77a444738185fdc874dfec314c5344e4341c29bc641625376ef092,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.035511,51.528284,On or near HAIG ROAD EAST,E01003605,Newham 028C,Local resolution
55d2dc13ef32add653e0f1b9a7276982c5c93305ffeb7cf1b67f4455cb086238,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.001481,51.541963,On or near Shopping Area,E01003617,Newham 012B,Suspect charged
a9a19139b0f56c895c4e80c780e5b8f6521d394d4be24f18327dca50aa285b33,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.060562,51.531363,On or near TALBOT ROAD,E01003624,Newham 024E,Local resolution
551ed731a348254788c3d8405bee2d4d706256a2d767a5894b15044da9a5cf06,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.034380,51.534302,On or near Parking Area,E01003491,Newham 022A,Suspect charged
b05c4e0f8bbba3212e8aabb870f4c2e1d55ec017ccf561d45dd15a80a4059af6,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
c6d917a99e98ae5945de9115c76acaeb4781530689b7492bd85a1a056ea41f44,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
ef13d5ee81154af9000d6647af8bd3af49af5c5906f3c36acd0f8f6733c94fd8,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
1abc5d898d7d45c6edd070c18edcad7e37dfea508dc4771ef7ca2a6bd0696ba2,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.376498,51.532534,On or near ABBEY CLOSE,E01001257,Ealing 008A,Local resolution
7450b37132eda286ebbf079fc211342b79e6e289a17856475b95896c1764c8fb,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
13e464b800507346ee2f6ee6ad8f10f7d61202dc0798cc56a58895aec3217b52,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
838c8eb51c493d441f50bec05030d4f8adea4ecfda7eea2251d94bea1087f20e,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
9d032e71363aa4a6eb32ac32cc9e19d3c8e3cc0a901750928e3a5b90142f907b,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.068741,51.510446,On or near FOUNDER CLOSE,E01003480,Newham 033A,Suspect charged
1941c6b4ac77ba87ab19c277932c5e7070aee82d4501d7157ff557e1987400b6,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.060371,51.539586,On or near BURGES ROAD,E01003625,Newham 015A,Suspect charged
8671cd4cb9b15930cdf0f29033a760c9a0fcb24d28ab379cb966c2d1a4815c3b,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.031519,51.568267,On or near Petrol Station,E01004422,Waltham Forest 022A,Suspect charged
3659009501b55c896d55a21c86a1545718f07b2bf4189f2de71c3c823991d9fb,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.030053,51.614194,On or near HOLLYWOOD ROAD,E01004453,Waltham Forest 006B,Suspect charged
7773d1be4b8312a6cfbfb26640c25cc08c636ee8dff2e0e593208518348c6fa1,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.027949,51.589403,On or near Petrol Station,E01004458,Waltham Forest 012C,Suspect charged
d1d2ac03caa1b1d9c4b81bb98089066671da4f9a1bd4a4d36483834474334a47,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
85a63303a999329764712295edc90901c6eef094987d558f676aff66be2728c8,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
219408514bb7cd3c556bdacbb97f30b36eb83000cfec2ee1998d4645b60f22dd,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.420496,51.441827,On or near VERNON ROAD,E01002600,Hounslow 025D,Local resolution
0105c6276578fb60a45f7606c89419aa3451cf735ab5773f9edec13d920eff77,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
92c1008dc8b868a039ed86d175cab062dc5f1cc57f1e34d1c5ee6a145a4adabc,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
1936c8a742a574c7fbc5d73258f71524e2ec9bb6e2e996dbc20b408e77fc41da,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
f34e978d1c31f0e312ea56e8eb1509aabdcbe177a812dc7a1b3b6e8f9a1696de,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
605ac8f916cbb12d51376560718a2a035e3d73c433112a5b527d2761e04bb086,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
bfc9c84f2d949558c2e2f2735c93858ad61f9420160e2fb412048701c37cfc5d,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
ae3be92bfe8e3263c50f08efef22ed11da6861554f6c1301e4247e2efa1ff8fd,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
3210bc2510c9af88bb13acb1efd955d9105507e907d267b9f4629a828078c3fc,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
a9023d4f68f9d1e87e9f79c8e777f5c3601b2ccefad0d8b22d87d10bba29ff5f,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
4b4b7c25e899c4e518326eac63424ca1b925605cf21a2d870d06ab62b3f24d31,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
dd2b50919f8b1189d3e1126b6500184b1c14e43d2617bf06fdb7bad380c508b0,2020-02,Metropolitan Police Service,Metropolitan Police Service,0.065220,51.509069,On or near CYPRUS PLACE,E01003480,Newham 033A,Suspect charged
f4df30565a6991021d134ad3b7112a81cad6be676690376840d17d8728855fe6,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
1d5599643a3b1ba9ff82f0e0bbd1ef67da0c3cbcbd9d11a3938d92aa6844a4a0,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
246ff9bfc0655a542f5492c9007b06179601724b22a2b67d0aa5982d651a5561,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
4c4888c719bbc02ba91060f7fa66be06095747770e939664d7846e88665232df,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
b75070c98b912f7f7b6c30d6188cb317b9222ba3a383b106c4d8b4d645db4f00,2020-02,Metropolitan Police Service,Metropolitan Police Service,-0.083995,51.492492,On or near PRESTON CLOSE,E01003960,Southwark 012A,Suspect charged
350ef7e47a00c11f3c694faeebe9c420e6c220d44a773de7ca901aed1057f432,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
d224f81fd2631990dd218555a537a9e148fd69e13dc0ef1d3ddcb649308db071,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
097a09d0b9b5f5f5116dd2d0fab340377358391f3c8214bf0ef5fd30c14b055c,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
1e7a19b0b2da23fe52fc2c738ab8b18a075edbbccd1fa92f67c8e87c4e349015,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
82e73566302952bc1535b8fcee4a9c28ac66ee2e542b3390c023e013540de6aa,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
7bdf5a768f988cefff976d570ba4eb3246cf00b6f8de21a373178087d7f5a1e9,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
2c7fc16280c3d04bfc67ec94c4f0b8ac402dc07fbfb1a5e1dae4ef3629eba1f7,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
50952be503b4af6af68164823c27a055b1b29223f6b0ff174d62232e84f4945d,2020-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
