iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,death_rate,death_rate_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,total_hosp,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,perc,tests_units_grouped,start_date,pandemic_days,full_vax_prc20,full_vax_prc20_days,full_vax_prc75,full_vax_prc75_days,full_vax_prc50,full_vax_prc50_days
ISL,Europe,Iceland,2021-07-14,6676,0,11,NA,0,11,19443.149999875877,0,32.03634661453474,NA,0,32.03634661453485,NA,NA,0.6,NA,NA,0,0,0,NA,NA,NA,NA,1591,440658,1283.37,4.634,1198,3.489,NA,NA,tests performed,460812,266949,246678,NA,NA,2389,134.21,77.75,71.84,NA,6958,637,0.186,17.59,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,71.84,tested,2020-02-28,502,2021-04-16,89,2021-06-24,20,2021-06-24,20
ARE,Asia,United Arab Emirates,2021-07-14,654813,1529,10699,NA,1529,10699,65539.74165471808,153.03646230307575,1070.8548791240069,NA,153.03646230307575,1070.8548791240075,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,286676,61584602,6163.957,28.693,277508,27.776,0.006,181.6,tests performed,16120004,7536317,6596750,NA,77513,55941,161.34,75.43,66.03,NA,5599,19776,0.198,63.43,9.991083020280128,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,NA,NA,NA,NA,66.03,tested,2020-01-29,532,2021-02-23,141,2021-07-13,1,2021-07-13,1
ISL,Europe,Iceland,2021-07-15,6676,0,11,NA,0,11,19443.149999875877,0,32.03634661453474,NA,0,32.03634661453485,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1621,442279,1288.091,4.721,1259,3.667,NA,NA,tests performed,466434,267154,252152,NA,5622,2197,135.84,77.81,73.44,NA,6399,339,0.099,17.59,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,73.44,tested,2020-02-28,503,2021-04-16,90,2021-06-24,21,2021-06-24,21
ARE,Asia,United Arab Emirates,2021-07-15,656354,1541,10701,NA,1541,10701,65693.97918801372,154.23753329564403,1071.0550576227683,NA,154.23753329564403,1071.0550576227688,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,284799,61869401,6192.462,28.505,277718,27.797,0.006,181.7,tests performed,16194526,7645272,6705685,1843569,74522,56953,162.09,76.52,67.12,18.45,5700,32503,0.325,63.43,9.991083020280128,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,NA,NA,NA,NA,67.12,tested,2020-01-29,533,2021-02-23,142,2021-07-13,2,2021-07-13,2
SGP,Asia,Singapore,2021-07-16,62913,61,235,NA,61,235,11536.04957540592,11.185272107509753,43.09080238139049,NA,11.185272107509753,43.090802381390034,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79467,14.571,0,2367.1,samples tested,6650677,4118334,2609367,NA,NA,69650,121.95,75.52,47.85,NA,12771,31884,0.585,50.93,5.453600003083055,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,NA,NA,NA,NA,47.85,tested,2020-01-23,540,2021-04-06,101,2021-07-16,0,2021-07-16,0
ARE,Asia,United Arab Emirates,2021-07-16,657884,1530,10702,NA,1530,10702,65847.11573956619,153.13655155245644,1071.155146872149,NA,153.13655155245644,1071.1551468721495,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,288895,62158296,6221.377,28.915,277483,27.773,0.006,181.5,tests performed,16263585,7664971,6725394,1873220,69059,56897,162.78,76.72,67.31,18.75,5695,32477,0.325,63.43,9.991083020280128,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,NA,NA,NA,NA,67.31,tested,2020-01-29,534,2021-02-23,143,2021-07-13,3,2021-07-13,3
SGP,Asia,Singapore,2021-07-17,62981,68,297,NA,68,297,11548.518403329044,12.468827923125627,54.4594396054168,NA,12.468827923125627,54.459439605416335,NA,NA,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76662,14.057,0.001,1806.8,samples tested,6726540,4136551,2676171,NA,75863,70253,123.34,75.85,49.07,NA,12882,28407,0.521,50.93,5.453600003083055,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,NA,NA,NA,NA,49.07,tested,2020-01-23,541,2021-04-06,102,2021-07-16,1,2021-07-16,1
SGP,Asia,Singapore,2021-07-18,63073,92,381,NA,92,381,11565.387994048568,16.869590719522904,69.86210939280727,NA,16.869590719522904,69.86210939280681,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73857,13.543,0.001,1356.9,samples tested,6794394,4153143,2747489,NA,67854,69711,124.59,76.15,50.38,NA,12783,24698,0.453,50.93,5.453600003083055,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,NA,NA,NA,NA,50.38,tested,2020-01-23,542,2021-04-06,103,2021-07-16,2,2021-07-16,2
ARE,Asia,United Arab Emirates,2021-07-18,660978,1529,10758,NA,1529,10758,66156.79187715004,153.03646230307575,1076.7601448374676,NA,153.03646230307575,1076.7601448374683,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,265482,62723053,6277.903,26.572,275289,27.553,0.006,179.1,tests performed,16358244,7674726,6735166,1948352,NA,60589,163.73,76.82,67.41,19.5,6064,28246,0.283,65.28,9.991083020280128,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,NA,NA,NA,NA,67.41,tested,2020-01-29,536,2021-02-23,145,2021-07-13,5,2021-07-13,5
SGP,Asia,Singapore,2021-07-19,63245,172,527,NA,172,527,11596.926794089415,31.53880004084717,96.63341640422405,NA,31.53880004084717,96.6334164042236,NA,NA,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15248512,2796.045,NA,71053,13.029,0.001,943.8,samples tested,6837200,4164922,2792430,NA,42806,65591,125.37,76.37,51.2,NA,12027,20302,0.372,50.93,5.453600003083055,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,NA,NA,NA,NA,51.2,tested,2020-01-23,543,2021-04-06,104,2021-07-16,3,2021-07-16,3
ARE,Asia,United Arab Emirates,2021-07-19,662486,1508,10724,NA,1508,10724,66307.72646521612,150.93458806608126,1073.357110358524,NA,150.93458806608126,1073.3571103585248,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,227582,62950635,6300.682,22.779,273785,27.403,0.006,178.7,tests performed,16375149,7674769,6735204,1965176,16905,58070,163.9,76.82,67.41,19.67,5812,26845,0.269,65.28,9.991083020280128,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,NA,NA,NA,NA,67.41,tested,2020-01-29,537,2021-02-23,146,2021-07-13,6,2021-07-13,6
MLT,Europe,Malta,2021-07-20,32875,217,1439,NA,217,1439,63698.89566344476,420.46115160357454,2788.2193417398353,NA,420.46115160357454,2788.219341739833,NA,NA,1.37,1,1.938,18,18,34.877,NA,NA,NA,NA,4091,1049318,2033.168,7.927,3931,7.617,0.052,19.1,tests performed,730483,387329,360880,NA,2377,2644,141.54,75.05,69.92,NA,5123,1748,0.339,47.22,0.5160999991851689,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.895,NA,NA,NA,NA,69.92,tested,2020-03-07,500,2021-03-22,120,2021-07-20,0,2021-07-20,0
SGP,Asia,Singapore,2021-07-20,63440,195,696,NA,195,696,11632.682991810143,35.7561977207279,127.62212109552156,NA,35.7561977207279,127.62212109552112,NA,NA,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70656,12.956,0.001,710.6,samples tested,6837539,4165024,2792667,NA,339,56686,125.38,76.37,51.21,NA,10394,16084,0.295,50.93,5.453600003083055,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,NA,NA,NA,NA,51.21,tested,2020-01-23,544,2021-04-06,105,2021-07-16,4,2021-07-16,4
ARE,Asia,United Arab Emirates,2021-07-20,664027,1541,10743,NA,1541,10743,66461.96399851177,154.23753329564403,1075.2588060967573,NA,154.23753329564403,1075.2588060967578,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,255986,63206621,6326.303,25.621,272671,27.291,0.006,177.7,tests performed,16444844,7684876,6765065,1994903,69695,57479,164.6,76.92,67.71,19.97,5753,24007,0.24,65.28,9.991083020280128,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,NA,NA,NA,NA,67.71,tested,2020-01-29,538,2021-02-23,147,2021-07-13,7,2021-07-13,7
MLT,Europe,Malta,2021-07-21,33074,199,1420,NA,199,1420,64084.479853164165,385.58418971940705,2751.404770862103,NA,385.58418971940705,2751.404770862101,NA,NA,1.25,1,1.938,20,20,38.752,NA,NA,NA,NA,3976,1053294,2040.872,7.704,3901,7.559,0.052,19.2,tests performed,733736,389025,362923,NA,3253,2613,142.17,75.38,70.32,NA,5063,1665,0.323,47.22,0.5160999991851689,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.895,NA,NA,NA,NA,70.32,tested,2020-03-07,501,2021-03-22,121,2021-07-20,1,2021-07-20,1
MLT,Europe,Malta,2021-07-22,33240,166,1364,NA,166,1364,64406.12294609594,321.6430929317667,2642.898667222471,NA,321.6430929317667,2642.8986672224682,NA,NA,1.14,1,1.938,17,17,32.939,NA,NA,NA,NA,4302,1057596,2049.208,8.336,3997,7.745,0.049,20.5,tests performed,736727,389263,364899,NA,2991,2616,142.75,75.42,70.7,NA,5069,1412,0.274,47.22,0.5160999991851689,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.895,NA,NA,NA,NA,70.7,tested,2020-03-07,502,2021-03-22,122,2021-07-20,2,2021-07-20,2
SGP,Asia,Singapore,2021-07-22,63791,170,939,NA,170,939,11697.044147707453,31.172069807814065,172.179844409044,NA,31.172069807814065,172.17984440904357,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69862,12.81,0.002,520.8,samples tested,6978317,4201110,2897480,NA,NA,56803,127.96,77.03,53.13,NA,10416,14963,0.274,50.93,5.453600003083055,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,NA,NA,NA,NA,53.13,tested,2020-01-23,546,2021-04-06,107,2021-07-16,6,2021-07-16,6
ISL,Europe,Iceland,2021-07-23,7055,87,379,NA,87,379,20546.947760503943,253.37837776950292,1103.7977606280642,NA,253.37837776950292,1103.7977606280645,NA,NA,1.42,NA,NA,4,4,11.65,NA,NA,NA,NA,3964,461887,1345.197,11.545,2524,7.351,NA,NA,tests performed,468416,267830,253666,NA,NA,248,136.42,78,73.88,NA,722,84,0.024,17.59,0.3433600008251039,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA,73.88,tested,2020-02-28,511,2021-04-16,98,2021-06-24,29,2021-06-24,29
MLT,Europe,Malta,2021-07-23,33412,172,1301,NA,172,1301,64739.39169298909,333.2687468931559,2520.829300627885,NA,333.2687468931559,2520.8293006278823,NA,NA,1.05,1,1.938,19,19,36.815,NA,NA,NA,NA,3640,1061236,2056.26,7.053,3963,7.679,0.047,21.3,tests performed,742361,392444,368587,NA,5634,2992,143.84,76.04,71.42,NA,5797,1526,0.296,47.22,0.5160999991851689,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.895,NA,NA,NA,NA,71.42,tested,2020-03-07,503,2021-03-22,123,2021-07-20,3,2021-07-20,3
SGP,Asia,Singapore,2021-07-23,63924,133,1011,NA,133,1011,11721.431708204154,24.387560496701592,185.38213279823583,NA,24.387560496701592,185.3821327982354,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69465,12.737,0.002,481,samples tested,7060589,4217627,2963275,NA,82272,58559,129.47,77.34,54.34,NA,10738,14185,0.26,50.93,5.453600003083055,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,NA,NA,NA,NA,54.34,tested,2020-01-23,547,2021-04-06,108,2021-07-16,7,2021-07-16,7
